epoch,train_loss,val_loss,metrics/mAP50,mAP@[.5:.95],Precision,Recall
1,0,0,0.839516251,0.382427355,0.382427355,0.513786359
2,0,0,0.867909508,0.377057268,0.377057268,0.499429976
3,0,0,0.841647511,0.371664935,0.371664935,0.510289782
4,0,0,0.864049887,0.402237441,0.402237441,0.529079707
5,0,0,0.848213798,0.385246413,0.385246413,0.532126302
6,0,0,0.912667562,0.451581296,0.451581296,0.555719526
7,0,0,0.9124718,0.450605657,0.450605657,0.557118261
8,0,0,0.911312215,0.453915394,0.453915394,0.553463665
9,0,0,0.911524849,0.453187425,0.453187425,0.556602432
10,0,0,0.90747917,0.451390436,0.451390436,0.555052151
11,0,0,0.912891913,0.459486352,0.459486352,0.559141488
12,0,0,0.908663816,0.456294104,0.456294104,0.555541041
13,0,0,0.906591472,0.456601208,0.456601208,0.555619608
14,0,0,0.911218861,0.456203416,0.456203416,0.554823923
15,0,0,0.911705176,0.456528949,0.456528949,0.556132735
16,0,0,0.911701348,0.457425897,0.457425897,0.55605921
17,0,0,0.910821718,0.456232553,0.456232553,0.555845042
18,0,0,0.90939652,0.455163533,0.455163533,0.554326924
19,0,0,0.905539181,0.451841168,0.451841168,0.55179057
20,0,0,0.90678586,0.454196713,0.454196713,0.552605267
21,0,0,0.907228145,0.454557041,0.454557041,0.553235165
22,0,0,0.910072994,0.455497162,0.455497162,0.55373757
23,0,0,0.907244862,0.455414344,0.455414344,0.554932404
24,0,0,0.907356678,0.454501529,0.454501529,0.553121187
25,0,0,0.909538752,0.454836647,0.454836647,0.553352027
26,0,0,0.907423554,0.454599671,0.454599671,0.553254267
27,0,0,0.907309937,0.454606026,0.454606026,0.553275981
28,0,0,0.907328049,0.454712609,0.454712609,0.553248861
29,0,0,0.907443042,0.454352357,0.454352357,0.552993604
30,0,0,0.907440616,0.454332304,0.454332304,0.552993604
31,0,0,0.907447168,0.454358428,0.454358428,0.552993604
32,0,0,0.907455547,0.454339469,0.454339469,0.552974592
33,0,0,0.907448069,0.454313027,0.454313027,0.552914855
34,0,0,0.907441462,0.454340234,0.454340234,0.55293657
35,0,0,0.907445111,0.454280704,0.454280704,0.552876832
36,0,0,0.907447576,0.454278847,0.454278847,0.552876832
37,0,0,0.907438339,0.454302216,0.454302216,0.552914855
38,0,0,0.907440947,0.454276408,0.454276408,0.552876832
39,0,0,0.907444542,0.454304758,0.454304758,0.552895844
40,0,0,0.907444241,0.454307103,0.454307103,0.552914855
